job_titles,descriptions,companies,salaries
FP&A Analyst,"About Us
We pride ourselves as the best and largest vertically integrated, omni-channel women’s fashion brand in the region. Founded in 2010, we’ve grown to 150 people strong, proudly headquartered in Singapore with country offices in Indonesia and Malaysia and an omni-channel presence across these 3 markets. In addition to our retail franchise in Cambodia, we ship internationally to 15 markets (Hong Kong, China, Philippines and Australia, New Zealand, US, Canada, Macau, Japan, Korea, Vietnam, Thailand, Myanmar, Cambodia & Brunei)
We are taking our definition of new female retail global, with our sights set on becoming the most thoughtful brand for the everyday woman.
The Team
The Love, Bonito team is a passionate, dynamic, innovative and fun-loving family. From fashion-lovers, savvy marketers to tech whizzes, we have a diverse team of talented individuals with one unified focus - our customer, the Love, Bonito woman. She is at the heart of everything we do and we pride ourselves in always taking an innovative, data-centric yet considerate approach in creating the right experiences, products and content for her. With big dreams and a grand mission, we’re looking for great like-minded people to join us - people who are as passionate, fearless and entrepreneurial.
If you’re looking for a dynamic, no corporate-BS environment to learn, grow, and really make an impact, we could be the perfect fit for you!
The role
Love, Bonito is looking to hire an FP&A to scale our existing FP&A function to drive the business forward on its next stage of rapid growth. Reporting to the Head of Corporate Finance and Planning, this role is based in Singapore and is responsible for reporting, analysis and business partnering to deliver value to internal and external stakeholders. This is a unique, exciting opportunity to influence key decision makers and make a positive difference to Love, Bonito.
You should have / be
Highly analytical and inquisitive - loves how numbers and data tell a story
A high degree of professionalism, judgment and discretion
Highly self motivated, independent, hands-on with a get it down mindset
A performance-driven attitude and a hunger and thirst for results
Excellent communication and people skills
A high degree of professionalism, judgment and discretion
Highly meticulous and details-driven
Able to think quickly on one’s feet quickly
Strong project management and multitasking abilities
Exceptional influencing abilities to create ‘voluntary’ buy-in by building strong relationships with stakeholders across all functions and levels
Good team player and people person
Main responsibilities
Pro-actively support execution of financial planning by preparing and supporting performance and strategy meetings of relevant stakeholders
Pro-actively support strategy execution by delivering meaningful, accurate and timely reporting & analysis on business performance
Deliver meaningful, accurate and timely reporting & analysis on functional financial performance. Ensure quality, accuracy and integrity of information stored in our financial systems across our operating countries, enabling a single source of truth
Supports the functional leaders in adhering to their budget by means of monitoring, reporting and controlling functional projects and project (business) plans
Analyzes and reports on business performance by means of : Monthly actual vs. plan tracking and associated variance drill down analysis
Contribute to building and updating the Group business plan
Performs forward-looking ad-hoc analysis, such as project & strategy evaluation, benchmarking, Price/Volume mix, scenario analysis, etc
Prepares, attends, minutes and keeps track of follow ups regarding performance and strategy meetings
Takes initiative to bring relevant financial issues to the attention of his/her relevant stakeholders.
Requirements
Bachelor in Business, Economics, Finance, Accounting or related study
2-4 years commercial experience preferably in the financial services industry or in a commercial finance function
Working experience with business planning, forecasting, reporting and analysis processes
Working experience with cost controlling techniques
Accounting knowledge with emphasis on integrity and control
Natural high level of organizational sensitivity
Strong analytical skills with ability to multi-task
Intellectual capacity to digest complex information, see trends and analyze through data
Advanced Excel and Powerpoint able to analyze and synthesize insights
Ability to balance speed and accuracy
Proven ability to make decisions independently
Exposure to Online, Logistics, Fashion or other fast paced consumer oriented businesses preferred
Benefits
Full corporate insurance
Flexi benefits
Staff discounts
A dynamic, no corporate-BS environment to learn, grow, and really make an impact","Love, Bonito",None
Senior Scientist,"As a member of Global Pharmaceutical Operations - Analytical Chemistry in Development and Supply (GPO-ACDS), you will be responsible for realization of the Vision and Mission of the Process Analytical Technology group at the MSD-Singapore sites. This member of the divisional PAT group will drive the application of real-time multivariate analytics, be the lead contact for PAT methods at the sites and lead innovation projects with the Pharmaceutical Innovation Program Singapore (PIPS). This position offers exciting opportunities to develops skills in real-time multivariate data analytics, expertise with Process Analytical measurement systems and to be at the forefront of innovative projects in Singapore!

Responsibilities:
Lead the development and implementation of data analytics to support MDS’s most important products and processes in Singapore.
Lead the implementation of novel PAT methods at MSD Singapore sites.
Serve as primary contact for PAT requests at MSD Singapore sites.
Serve as the primary interface between MSD and the Pharmaceutical Innovation Program Singapore (PIPS).
Qualifications

M.S. wit 4+ years experience or Ph.D. with 0-2 years experience
Expertise in Chemometrics or multivariate data analysis (MVDA)
Expertise with Process Analytical instrumentation such as FBRM, Near Infrared, Mid-Infrared spectroscopy
Pharmaceutical industry experience working with teams
Applicant should have excellent written and oral communication skills and will be expected to continually draw upon his/her ability to think independently, to solve problems, and to apply innovative scientific approaches
Demonstrated project management skills.
Job: Chemistry
Primary Location: APAC-SG-Singapore-Singapore
Employee Status: Regular
Number of Openings: 1
Company Trade Name:MSD",MSD,None
Financial Analyst - Contract Manufacturing,"Req. ID: 134084
We are now looking for a Contract Manufacturing Financial Analyst, you will provide effective operational finance support to the Contract Manufacturing operations encompassing external Assembly & Test Services. You will be responsible for performing month-end close activities for the operations, providing financial results and cost performance analysis to operations management, supporting quarterly forecasting activities and providing financial analysis and support to various operational initiatives and projects. You will also be expected to play an active role in developing and implementing new financial processes to meet changing business needs. Another meaningful part of your role is to provide information and analysis to the leadership and Contract Manufacturing team for decision-making. You will partner with the various teams, such as the site and global teams in providing timely and insightful analysis and financial modeling.

You are also expected to work with other Finance teams, such as the central and global costing teams, and other site teams to seek alignment and perform consistent benchmarking across sites.
In your dynamic role, you will develop highly effective working relationships with operational managers, the Contract Manufacturing operations team, Global procurement team and with other Micron manufacturing finance teams.
Responsibilities include, but are not limited to:
Financial Analysis:

You will be preparing, analyzing and presenting analysis to support site operational decisions; to include quantitative analysis of cost vs. benefits of financial projects, NPV and ROI for capital spends.
You will also play a key role in continuous review of financial analysis methods and tools; implement improvements as needed in order to improve the quality of analysis
Deep understanding and ability to articulate financial concepts/analyses; attention to detail and be able to tailor the presentation/level of details appropriately
Decision Support:
You will work closely with cross-functional team to deliver complete, concise, and consistent review of financial analysis and benchmarking and have extraordinary analytical skills.
Dedicated support of management information request & special projects as assigned
Planning & Reporting:
Monthly review and analysis of actual reported process costs and comparison to plan.
Quarterly review and analysis of projected process costs and comparison to prior plan(s) and established goals and benchmarks.
Monthly review of reported cost to ensure consistent capture of data to enable internal and external benchmarking efforts.
Ongoing support of management information requests and special projects as assigned by management.
Ensure ongoing consistency and relevance of data that is made available to Manufacturing management.
Continuously work to improve the coordination and communication amongst the various site & global finance teams.
Support the business planning cycle through data analysis and participation in the budget process.
Month end closing:
Prepare and analyze monthly trend cost and cost per part fluctuation.
Support Sox compliance
Requirements:
Bachelor’s Degree in Accountancy or Finance
1 to 3 years of Accounting or Finance experience or equivalent experience
Proficient in Excel; SAP experience an advantage
Strong communications skills; both verbal and written
Ability to forge strong and effective working relationships across a variety of partner groups
Self-starter, resilient and strive to enhance business
Flexibility towards continually changing environment and reporting needs
Continuously work to improve existing processes
Excellent teamwork, communication, & business partnering skills

Location: 1, North Coast Drive, Singapore 757432

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
For US Sites Only: To request assistance with the application process and/or for reasonable accommodations, please contact Micron’s Human Resources Department at 1-800-336-8918 or 208-368-4748 and/or by completing our General Contact Form
Keywords: Singapore || Central Singapore (SG-01) || Singapore (SG) || SGA || Experienced || Regular || Accounting/Finance || #LI-JV1; #LI-SING || Tier 3 ||",Micron,None
Senior Professional Business Analyst (51000998),"Job Description:
Summary
Performs moderately complex analyses of business goals, objectives and needs, and the general business environment to align information technology solutions with business initiatives. Acts as liaison between technical personnel and non-technical personnel.
Essential Job Functions
Plans, designs and recommends business processes to improve and support business activities.
Analyzes and documents client's business requirements and processes and communicates these requirements by constructing conceptual data and process models, including data dictionaries and volume estimates from organization.
Creates test scenarios and develops test plans to be used in testing the business applications in order to verify that client requirements are incorporated in to the system design. Assists in analyzing testing results throughout the project.
Provides input into developing and modifying systems to meet client needs and develops business specifications to support these modifications.
Facilitates meetings with clients to gather and document requirements and explore potential solutions.
Assists in coordinating business analyst tasks on information technology projects and provide support to other team members.
Assists in analyzing testing results in all phases.
Participates in technical reviews and inspections to verify 'intent of change' is carried out through the entire project.
Assists in providing time estimates for project related tasks.
Assists with developing the methods and procedures required to identify whether current business goals and objectives meet organizational needs.
Basic Qualifications
Bachelor's degree or equivalent combination of education and experience
Bachelor's degree in business administration, information systems, or related field preferred
Six or more years of business analysis experience
Experience working with the interface of information technology with functional groups within an organization
Experience working with business processes and re-engineering
Experience working with computer programming concepts and basic language
Other Qualifications
Interpersonal skills to interact with customers and team members
Good communication skills
Good analytical and problem solving skills
Presentation skills to present to management and customers
Personal computer and business solutions software skills
Good ability to work in a team environment with multiple team members
Willingness to travel
Work Environment
Office environment",DXC,None
"Senior Officer, KYC Officer (6 months contract), PFS Business Processes & Administration","About UOB

United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices.
Our history spans more than 80 years. Over this time, we have been guided by our values — Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers.

About the Department

The Retail function provides Personal and Business Banking customers with financial solutions tailored to their needs. We help them manage their money wisely and meet their financial goals through an extensive range of products and services. These include deposit, insurance, secured and unsecured loans, investment and wealth advisory services.
Personal Financial Services
We design and provide products and services that empower our customers to enjoy greater banking convenience while they extract more value from their money. In particular, we are focused on promoting and developing healthy saving and investment practices across generations.

Job Responsibilities

You will be part of the PFS, Business Processes and Tranformation - KYC AML/CFT team. Your primary responsibility will be handling AML reviews (name screening).
Tasks involve:
matching and identifying of existing Bank’s customer names against the watchlists:
may require further investigative role like performing reviews on transaction accounts
recommending appropriate course of action for cases (closure/ exclusion/ refer cases)
Perform periodic and ad hoc AML reviews of customers and checks in compliance with MAS regulation guidelines and internal written SOPs.
Follow up with frontliners/touchpoints on the updated of KYC info of customers for every AML reviews
Reviewing a client’s account activity, statements, internet research, and client profile information, which may result in escalation of unusual activity to GC compliance and support units for exceptional handling
Follow-up, review, analyse and perform case-level investigations of potential suspicious activity that is sent to the AML team
Coordinates the collection and/or compilation of data, and prepare weekly, bi-weekly, monthly and quarterly reports to Compliance and business management
Assist with adhoc AML/KYC related issues and departmental projects
Job Requirements

Degree in any discipline
Meticulous, analytical and commitment to meet timeline
Prior working experience especially in AML related would be an added advantage
Be a part of UOB Family

Apply now and make a difference.",United Overseas Bank,None
Quality Assurance Analyst (based in Singapore),"The Quality Assurance Team at Ground Labs is an integral part of Engineering whose mission is to ensure that the product that reaches our customers is of the highest quality. In this role, you would be reporting to the QA Lead, and will be responsible for:

Reviewing functional and design specifications to ensure full understanding of individual deliverables.
Identifying test requirements from specifications, mapping test case requirements and designing test coverage plan.
Developing, documenting and maintaining functional test cases and other test artefacts like the test data, data validation, harness scripts and automated scripts.
Executing and evaluating manual or automated test cases and reporting test results.
Identifying any potential quality issues per defined process and escalating potential quality issues immediately to stakeholders.
Collaborating with the development team to improve overall product quality by emphasizing defect prevention throughout the development process.
Ensuring that validated deliverables meet functional and design specifications and requirements.
Isolating, replicating, and reporting defects and verifying defect fixes.


To be successful in this role, you will need to have most of the following:

3-4 years experience working on a test automation/tooling team or DevOps team.
Programming experience in a high-level programming language such as C++, or Ruby.
Experience in working with different operating systems and databases.
Experience with common automation testing toolkits such as Selenium, or TestComplete.
Experience with a scripting language like Javascript etc.
Strong analytical, problem-solving, and verbal/written communication skills.
A positive work ethic, passion, tenacity and a can-do attitude.
The interest and aptitude to always be thinking about software quality.
This is a full-time position to be based in our office in Singapore.

About us

At Ground Labs, we create security software that is used by organisations to identify unsecured sensitive data on their networks. We are leading the industry with our unique and innovative engineering approach that helps to keep this sensitive data safe. Our security and auditing products are trusted by more than 2500 organisations to protect sensitive data as required by the Payment Card Industry Data Security Standard (PCI DSS) with deployments spanning more than 80 countries including the United States, Middle East, Europe and the Asia Pacific regions. Our customers encompass organisations of all sizes including expert security consultants, multi-national corporations, financial institutions and government organisations. We are based in Australia, Ireland, Singapore and the USA.

If you are interested, please email your resume and cover letter to us at hr@groundlabs.com.",Ground Labs Pte Ltd,None
Head of Data Strategy APAC,"Data and Technology are a critical enabler and this area is a vital organizational competence with DAN’s growing digital/data assets and operating scale, it is important that the network has a strong, experienced leader to guide the data and technology strategy across the Americas.


The role is primarily responsible for the planning, management and rollout and successful migration of all current data platforms of all operating companies within Dentsu Aegis in the Americas to the Global Data Platform (GDP) through the regional hub, reporting directly into the APAC CTO with responsibilities to the global team.
Job Title:
Head of Data Strategy APAC
Job Description:
Strengthen the Data and Technology function across the DAN sub-region on-boarding specialist partners and implementation of improved processes and tools
Build a team with relevant expertise to provide support
Be an in-house expert on how Data and Platforms can provide ROI for clients
Act as account and client leadership partner by providing technology counsel for data and reporting
Understand how platform/data technologies and reporting solutions work and offer the ability to explain in ordinary terms
Identify opportunities for industry learning, meet with vendors and provide a POV, with a client lens and in desired format - education/evangelize the findings
Build and maintain relationship with tech providers and reporting solution providers
Partner with teams to support Data/Analytics partnerships
Support and encourage agency account teams to use data as a central tool for smarter planning, buying and optimisation
Build and maintain relationships with internal agency counterparts
Act as a liaison between technology team and functional team (Data Analytics, Tech, Creative) as well as between technology team and account teams
Understand and adopt new trends and/or processes in data platform and reporting
Location:
Singapore
Brand:
Dentsu Aegis Network
Time Type:
Full time
Contract Type:
Permanent",Dentsu Aegis Network,None
Business Operations Manager I,"Hewlett Packard Enterprise is an industry leading technology company that enables customers to go further, faster. With the industry’s most comprehensive portfolio, spanning the cloud to the data center to workplace applications, our technology and services help customers around the world make IT more efficient, more productive and more secure.
In the Global Operations Group, we deliver superior experience to our customers and partners making Operations a source of competitive advantage for HPE, in close partnership with Global Sales. The Supply Chain business unit defines high-impact, long-term digital supply chain architecture strategies at the global, regional and operational level. We establish and manage cross-functional, cross-regional teams to design and implement end-to-end supply chain capabilities, network design and architecture strategies.
We have an exciting opportunity for a Business Operations Senior Executive in our APJ Supply Chain organization. He / she will be responsible for planning, scheduling and coordinating demand/supply management, business processes and/or manufacturing/delivery of products and services to the company policy and country regulatory requirements. The scope includes business execution processes related to lifecycle planning; order management (including allocation management, Available to Promise (ATP) / commit processes, business attainment tracking); logistics management (including inbound/outbound coordination and consolidation of domestic and international systems to support shipments); and inventory management (including analysis, optimization and velocity).
Responsibilities:
Partners cross-functionally to develop, track and manage business metrics for the organization (may include customer availability, service levels, on-time delivery, supplier response time (SRTs), supply chain costs and inventory.
Manages a broad range of moderately complex supply chain processes, such as inventory analysis and planning, demand management, logistics management, and import/export operations typically with a large or complex global business unit.
Identifies opportunities for process improvement and develops recommendations.
Independently executes the demand and supply matching activities, connecting planning to execution, and identifying issues and their impact.
Drives backlog management.
Gathers demand data from country, region and account managers to synthesize information using complex analyses, and delivers demand signals to the supply base to contribute to demand forecasting.
Coordinates or leads regional and global business unit planning teams to maintain and enhance the current business processes.
Reviews performance metrics on a regular basis, identifying opportunities for improvement.
Contributes to priority projects with complex analyses and assists in developing recommendations.
Communicates requirements and guidelines to the regional and global business unit planning teams.
Mentors junior-level staff.
Coordinates, develops, and manages a Regulatory Trade Compliance program.
Education and Experience Required:
Bachelor Degree
Typically 4-6 years of work experience in a supply chain function with expertise preferably in a customs/global trade function
Knowledge and Skills:
Strong understanding of supply chain processes (plan, source, make deliver).
Strong analytical and data modeling skills and proven relationship management skills.
Strong knowledge of Microsoft Office skills (Excel, PowerPoint, etc.), statistical analysis, and financial modeling.
Strong project management skills to lead cross-functional teams; recognized as Subject Matter Expert.
Strong business acumen and technical knowledge within area of responsibility.
Strong understanding of the company's overall supply chain strategy.
Extensive understanding of Material Requirements Planning (MRP), Available to Promise (ATP) and master scheduling.
Good understanding of national and international trade requirements to align customs/trade function with business objectives.
Thorough knowledge of inventory analysis.
Developed leadership skills including team-building and conflict resolution and management.
Preferably ability to lead projects at APJ level
1045401",Hewlett Packard Enterprise,None
Technology Lead (FinTech),"Job SummaryOur client is an exciting FinTechStartup. They are hiring a Technology Lead, responsible for managing all things related to technology. You will be working closely with our product and investment teams to source, gather and analyse data from various platforms to create expert knowledge and skills in the fragmented space.This is a great opportunity to be part of an up and coming fintech company, where you be involved in all aspects of the company’s development. If you are someone who is ambitious, entrepreneurial, enjoys startup culture, this is the role for you. APPLY NOW!Responsibilities and DutiesWork with the co-founders in developing a big data analytics platform for internal and external stakeholdersStrong understanding of, and practical experience with back-end, front-end and API developmentContribute to technical architecture decisions and lead efforts to build and maintain a highly scalable platform, with clear alignment of technology solutions with business objectives and budgetary needsTake the lead in recruiting teamOverseeing a technical team that will design, develop and maintain application architectures that support the company’s business requirementsRequired Experience, Skills and QualificationsBSc or MSc degree in Computer Science or a related technical fieldExperienced in project and product management, with minimum 2 years of leading/managing 5 to 20-member teamsMinimum 5 years of experience working with Java and/or PythonBroad understanding of distributed systems and microservicesComfortable managing cloud infrastructure in AWS and similarDeep understanding of CD/CI, release management and Agile methodology.Job Type: Full-timeSalary: $7,000.00 /monthExperience:Java: 5 years (Preferred)",Dow Technologies and Systems,None
Senior Account Executive,"At Anaplan, we are looking for a ACCOUNT EXECUTIVE to join one of the fastest growing cloud vendors and make your mark on the industry. Based in Singapore you will take your proven track record of new business sales and Account Management of Global 2000 enterprises and sell an incredibly versatile solution that is helping people and companies around the world every day to make better-informed plans and decisions.

Our sales team is sharing our bold vision with companies around the world and helping them understand the power of Anaplan products. We partner with some of the world's biggest brands, such as P&G, GE, PwC, and VMware, to unlock their full potential for success and to grow our business.

You will join a team of individuals who embrace and respect diverse perspectives, aren't afraid to push boundaries and try new ideas, and are passionate about helping our customers and each other succeed. We work hard, but we also don't wait for an excuse to have fun. In fact, we're so serious about it that it's one of our core values.

Would you consider yourself as someone always on the hunt for a win? Do you take the time to seize each opportunity for all that you can all while consistently putting in the time and energy to succeed? Then this job is for you!

In this role, you will be a key contributor to Anaplan's revenue growth while driving change as a market disruptor. Reporting directly to the RVP (Regional Vice President), you will work with our Sales Development Reps, Pre-sales Consultants and Customer Success Team to build customer value and drive new business onto the Anaplan platform. You may have up to 30 accounts in a defined geographic territory, mostly 'greenfield' accounts with several existing Anaplan customers. This type of territory requires someone to further build our footprint by hunting and winning new logo accounts as well as expanding opportunities within the current Anaplan customer base.

What you'll be doing:

Engaging with targeted enterprise prospects to identify broken business processes and position Anaplan's unique ability to solve the problem
Building and defending Anaplan's business value throughout the selling engagement. Navigating complex prospect environments to align the prospect around the Anaplan solution
Building and maintaining a pipeline of high-quality opportunities
Utilizing Anaplan's value-based selling methodology and Salesforce.com to manage sales processes and accurately forecast business
Recruiting and leveraging partners and existing customers in your territory to build your Anaplan ""franchise""

More about you:

7 years + successful experience in software pre-sales and/or software sales into Enterprise Accounts.
Mandarin / Cantonese Speaker
Excellent Presentation skills.
Excellent Software Product Demonstration Skills
Experience selling (includes pre-sales) SaaS within Enterprise.
Experience selling (includes pre-sales) Large and Complex Deals Values
Strong technical aptitude to learn the Anaplan solution quickly
Consultative selling skills
Ability to understand and navigate through complex political environments
Proven ability to meet and exceed a sales quota
BS/BA degree educated (preferred)

Bonus Points:

Experience selling EPM, ERP or BI software solutions is a ""nice to have"", but we will certainly consider enterprise software sales experience.
Business Communication English Skills

What we offer:

A rewarding, progressive career with a company that values diversity, flexibility and understands the need for a good work/life balance.
Market-leading salaries combined with generous bonuses, equity and a range of comprehensive benefits.
Regular agile meetups, events and hackathons (both attending and hosting!)
Flexible working, catered lunches, a fully stocked kitchen and plenty of parties & events
A range of sports, health and wellbeing initiatives
3 days of paid leave every year to help support the charity or cause of your choice.
The chance to contribute and evolve a company with a valuation over $1.4 billion

This role is an immediate full-time position. If you're ready to roll up your sleeves and tackle unique problems that no one is solving in the tech space yet, keep reading.

Do you align with Anaplan's Values?

Collaborative: We go out of our way to help others succeed

Explore all of our Values on Anaplan.com/careers ( http://www.anaplan.com/about/careers/ )

#AnaplanLOVE

About Anaplan

We're building a truly unique technology. From our calculation engine and in-memory data store, to apps and predictive analytics; amazing technology is being developed every day.

We're addressing a $100B/year ( https://www.youtube.com/watch?v=Xbra5fNyhG4 ) problem that all global businesses face. Our mission is to break the traditional business planning mold, currently performed through spreadsheets or legacy systems. Anaplan's Connected Planning platform is enabling customers to improve decision-making by turning response time into real time.

With 900+ customers ( https://www.anaplan.com/customers/ ) and 175+ partners globally, Anaplan's platform is solving some of the most complex challenges in business. CEOs, analysts, and the press agree—Anaplan is changing the way the world does business.

Learn about our history ( https://www.youtube.com/watch?feature=youtu.be&v=h_k1OEmIpOk&app=desktop ), see our recognitions and achievements ( https://www.anaplan.com/about/recognition/ ), and take a look at what it's like to work at Anaplan.

Get to know more about working at Anaplan by checking out our social channels.

Facebook ( https://www.facebook.com/anaplan/ )

Twitter ( https://twitter.com/anaplan )

Instagram ( http://instagram.com/anaplanning/ )

YouTube ( https://www.youtube.com/channel/UCGyXlJXS6nEb21Om_17f4pg )

#LI-RS2",Anaplan,None
Engineering Lead,"Our vision is to build a unified Commercial Digital Platform capability (data, people, processes, technology), which will enable us to support a step change in commercial performance, transform customer experiences, and play a pioneering role in redefining our industry over the long term.Our aim is to deliver the most engaging experiences for our customers, underpinned by digital technologies and new agile ways of working.As Lead Engineer you will be responsible for the technical direction and delivery of the products we are building. You will be responsible for hiring, technical architecture, through to the long term direction of these products. You will work to ensure the team is focussed on doing the right thing, at the right time, in the right way.Responsibilities: Grow innovative, ground-breaking products that address real customer frictionsDesign and architect innovative, modern architecturesBuild, support and mentor effective teamsWrite code alongside your development teamChampion a focus on software qualities such as testability, security, scalability, operability etcWork with state of the art technologies to solve genuine, real-world problemsChampion good agile practices that provide a foundation for iterative product developmentBuild strong relationships with product managers, venture architects and designersEnjoy working in a diverse, dynamic, collaborative, transparent, environment where everyone's ideas and opinions are equally valuedCross-pollinate good practises and insights between multiple ventures to drive continuous improvement of the DV Engineering cohortExperience: Hands-on development and delivery experience with a broad mix of languages and technologiesReal passion for solving customer frictions through simple and effective softwareExperience with architectural design whilst leading and inspiring software development teamsStrong people skills that contribute to an open and collaborative environmentExperience working with Agile, Lean and Continuous Delivery approaches, such as Continuous Integration, TDD, Infrastructure as Code etc.Experience in communicating technical vision to a variety of team membersExperience building cloud native software architecturesAn ability to embrace and reduce uncertainty through continual validated learningDevelopment experience building scalable backend services in Python and Django, ideally experience or interest in working with ServerlessExcellent architecture and design skillsAnalytical skills, with a love for problem solving and troubleshootingConfidence in deploying production applications using AWS, Google Cloud or similarEnthusiasm for CI/CDA strong understanding of databases and when to use relational and non-relationalA strong understanding of the fundamentals - data structures, algorithms, OO design and system architectureUnix/Linux experienceCommunication skills, happy to collaborate and talk with the rest of the teamSolid understanding of Agile development methodsTech Stack: Python, DjangoES6, ReactAWS, ServerlessJob Type: ContractSalary: $0.00 to $15,000.00 /month",Kris Infotech,None
"APAC Learning & Development Lead, Corporate Solutions","APAC Regional Learning & Development Lead – Corporate Solutions
Human Resources - Singapore

What’s your ambition? Is it a big goal or small steps? Professional or personal? We’d like to know, because we make your ambitions our business. And if you have ambitions in Learning & Development, helping you achieve them is what we do best.
.
What this job involves

Developing Strategy
In this role you will be responsible for designing and executing the L&D Corporate Solutions strategy for all our CS business consisting throughout the APAC region. You’ll be the lead in driving L&D initiatives regionally and locally through the business to help achieve our ambitions. Are you able to bring to JLL the most up to date and best in class Learning & Development Strategies to future-proof us? Can you analyse, assess and develop an agile and business-focused L&D framework that will stand the test of time? Are you comfortable working in an fast shifting global matrix organisation?

Key Stakeholder Management
How do you manage your stakeholders? As a global Fortune 500 company, our key stakeholders are spread far and wide. Well-embedded in our organisation, they need sensitive management to ensure we progress our L&D strategy in line with our Global Talent framework.

A key part of your role will be navigating your way around these stakeholders. You will need to gain their trust, influence their thinking and champion your strategy. We’d love to hear how you will tackle these challenging situations!

Collaboration
In this role, you will be working closely with senior leadership and our various account teams. You’ll drive a spirit of collaboration to ensure that the L&D function runs to maximum efficiency.

An attention to detail
You’ll keep a close eye on processes, expectations and measurements to ensure that we continue to build our Corporate Solutions employee capabilities. You’ll make data driven decisions and provide regular L&D updates, analysis and recommendations. You will be hands on with vendor management including RFP submissions, budget governance and delivery

Sound like you? To apply you need to be:
Experienced
Not a job for the faint-hearted, you will be experienced and have a proven track record of setting and driving L&D strategies partnering with a dynamic leadership team. Are you adept at navigating across large, complex organisations? We think you’ll need at least 10 years’ experience ideally from within a complex, matrixed MNC environment working across multiple geographies.

Resilient
Corporate Solutions is a highly dynamic part of a highly dynamic business. It’s fast paced and you’ll need to be fast paced as well. You’ll need a positive mind set and a ‘can do’ attitude when multi-tasking driving change and delivering operational efficiencies. We have a continuous improvement mentality across our business and we’ll be looking for you to have the same.

Team Player
You’ll be a person that collaborates with others regardless of role, business unit or location. At JLL, we work together to succeed.

What you can expect from us

You’ll join an entrepreneurial, inclusive culture. One where we succeed together – across the desk and around the globe. Where like-minded people work naturally together to achieve great things.

Our Total Rewards program reflects our commitment to helping you achieve your ambitions in career, recognition, well-being, benefits and pay. We’ll offer you a competitive salary and benefits package.
Join us to develop your strengths and enjoy a fulfilling career full of varied experiences. Keep those ambitions in sights and imagine where JLL can take you...

Apply today!",JLL,None
Automation Testing Lead/Manager,"Canopy (https://canopy.cloud/) is a ""make sense of your data"" financial technology startup. We provide aggregation, visualization, analytics, and reporting services to financial institutions, wealth managers, and high net-worth individuals.
Canopy has exciting opportunity for an Automation Testing Lead/Manager. The successful candidate will be part of a global team to design, develop Test designs and Test cases. Perform Functional and Automation testing for our applications. Should have detailed analytical skills and good understanding of the test methodologies and be able to interface directly and take decisions.

The Test Lead / Manager is responsible for:
Building up and leading the Testing Team to the success of project
Developing Know how of Canopy Products
Defining the scope of testing within the context of each release / delivery
Deploying and managing Automation codebase and source code
Applying the appropriate test measurements and metrics in the product and the Testing Team
Planning, deploying and managing the testing effort for any given engagement.
Requirements
Key Skills

Bachelor's Degree in Computer Science, Computer Engineering, Management Information Systems or Technology related field
5 or more years of hands-on Quality Assurance experience
Must have experience with Selenium
Manual testing experience
General business knowledge of financial systems
Basic understanding and knowledge of Software Engineering Concepts and Methodologies is required.
Strong understanding of Agile, scrum and Quality Assurance processes and methodologies
<< Please include your current salary and expected salary in your application>>",Canopy Pte Ltd,None
